,prediction,Age
7786923077_R02C02,52.93013229099198,50.3
7471147102_R01C01,47.606467973084634,53.00000000000001
7786923014_R03C01,49.60373538998635,50.39999999999999
7507875129_R01C01,38.240093296835354,35.3
7786923035_R05C01,43.809572707285795,43.400000000000006
7786915048_R03C01,39.74530937684047,35.8
GSM2333961,19.83183283207721,22.000000000000004
7471147006_R02C02,34.20141670728503,35.3
7471147012_R06C02,47.015329658447975,44.60000000000001
GSM2334226,36.212769181159366,33.0
7507875027_R04C02,63.45709094307454,59.699999999999996
7786915153_R03C01,55.3225334130613,50.6
7786915079_R02C01,40.24079232962697,42.60000000000001
7786915108_R04C01,55.43812975435725,51.5
